IP Address,Datetime,ID,Shape
216.162.171.2,Tue Dec 10 2019 14:57:46 GMT-0800 (Pacific Standard Time),1576018666443,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-10T22:57:46.443Z"",""ID"":1576018666443,""Drawing Type"":""Bikeway"",""What kind of bikeway should this route be?"":""Class I Multi-Use Path"",""Comments"":"""",""Commenter Name"":""Randall Jones"",""Commenter Jurisdiction"":""Turlock""},""geometry"":{""type"":""LineString"",""coordinates"":[[-120.884907,37.536683],[-120.855982,37.536615],[-120.836155,37.536427],[-120.826306,37.536462]]}}"
216.162.171.2,Tue Dec 10 2019 14:58:29 GMT-0800 (Pacific Standard Time),1576018709756,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-10T22:58:29.756Z"",""ID"":1576018709756,""Drawing Type"":""Bikeway"",""What kind of bikeway should this route be?"":""Class I Multi-Use Path"",""Comments"":"""",""Commenter Name"":""Randall Jones"",""Commenter Jurisdiction"":""Turlock""},""geometry"":{""type"":""LineString"",""coordinates"":[[-120.837765,37.500432],[-120.816736,37.500312]]}}"
12.183.163.194,Wed Dec 11 2019 09:20:20 GMT-0800 (Pacific Standard Time),1576084820655,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-11T17:20:20.655Z"",""ID"":1576084820655,""Drawing Type"":""Bikeway"",""Is this an existing or proposed bikeway?"":""Existing"",""What kind of bikeway should this route be?"":""Class II Bicycle Lane"",""Comments"":""Class II Bike Lane exists on the East side of Upper Road. "",""Commenter Name"":""Danny Reed Jr."",""Commenter Jurisdiction"":""City of Newman""},""geometry"":{""type"":""LineString"",""coordinates"":[[-121.030991,37.309236],[-121.031034,37.306949]]}}"
12.183.163.194,Wed Dec 11 2019 09:21:31 GMT-0800 (Pacific Standard Time),1576084891176,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-11T17:21:31.176Z"",""ID"":1576084891176,""Drawing Type"":""Bikeway"",""Is this an existing or proposed bikeway?"":""Existing"",""What kind of bikeway should this route be?"":""Class II Bicycle Lane"",""Comments"":""Class II Bike Lanes are present on both sides of the street."",""Commenter Name"":""Danny Reed Jr."",""Commenter Jurisdiction"":""City of Newman""},""geometry"":{""type"":""LineString"",""coordinates"":[[-121.031098,37.306881],[-121.03112,37.305456],[-121.031002,37.303689]]}}"
12.183.163.194,Wed Dec 11 2019 09:25:00 GMT-0800 (Pacific Standard Time),1576085100542,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-11T17:25:00.542Z"",""ID"":1576085100542,""Drawing Type"":""Bikeway"",""Is this an existing or proposed bikeway?"":""Existing"",""What kind of bikeway should this route be?"":""Class II Bicycle Lane"",""Comments"":""Existing Class II Bike Lanes are present on both sides of the street."",""Commenter Name"":""Danny Reed Jr."",""Commenter Jurisdiction"":""City of Newman""},""geometry"":{""type"":""LineString"",""coordinates"":[[-121.008021,37.317428],[-121.008761,37.317957],[-121.009319,37.31817],[-121.009984,37.318247],[-121.018503,37.318349]]}}"
12.183.163.194,Wed Dec 11 2019 09:26:40 GMT-0800 (Pacific Standard Time),1576085200150,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-11T17:26:40.150Z"",""ID"":1576085200150,""Drawing Type"":""Bikeway"",""Is this an existing or proposed bikeway?"":""Existing"",""What kind of bikeway should this route be?"":""Class III Bicycle Route"",""Comments"":""Class III Bike Route Improvements"",""Commenter Name"":""Danny Reed Jr."",""Commenter Jurisdiction"":""City of Newman""},""geometry"":{""type"":""LineString"",""coordinates"":[[-121.008064,37.317359],[-121.008922,37.316754],[-121.009662,37.316438],[-121.013256,37.315508]]}}"
12.183.163.194,Wed Dec 11 2019 09:31:12 GMT-0800 (Pacific Standard Time),1576085472543,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-11T17:31:12.543Z"",""ID"":1576085472543,""Drawing Type"":""Bikeway"",""Is this an existing or proposed bikeway?"":""Existing"",""What kind of bikeway should this route be?"":""Class I Multi-Use Path"",""Comments"":""Existing Multi-use path on the South side of the roadway."",""Commenter Name"":""Danny Reed Jr."",""Commenter Jurisdiction"":""City of Newman""},""geometry"":{""type"":""LineString"",""coordinates"":[[-121.002152,37.323008],[-121.002817,37.3234],[-121.003332,37.323588],[-121.004469,37.323861],[-121.005177,37.324322],[-121.0058,37.324919],[-121.006701,37.325465],[-121.007795,37.325635],[-121.012495,37.32567],[-121.016572,37.32584],[-121.01728,37.325994],[-121.019061,37.326779],[-121.020262,37.327393],[-121.021271,37.327581],[-121.022816,37.327598],[-121.023674,37.327478],[-121.024768,37.327205]]}}"
12.183.163.194,Wed Dec 11 2019 09:32:51 GMT-0800 (Pacific Standard Time),1576085571248,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-11T17:32:51.248Z"",""ID"":1576085571248,""Drawing Type"":""Bikeway"",""Is this an existing or proposed bikeway?"":""Existing"",""What kind of bikeway should this route be?"":""Class II Bicycle Lane"",""Comments"":""Class II bike lanes are present on both sides of the street."",""Commenter Name"":""Danny Reed Jr."",""Commenter Jurisdiction"":""City of Newman""},""geometry"":{""type"":""LineString"",""coordinates"":[[-121.018138,37.318383],[-121.018116,37.318963],[-121.018717,37.320431],[-121.019919,37.322445],[-121.020048,37.322888],[-121.020155,37.324697],[-121.020091,37.325226],[-121.019833,37.325635],[-121.019039,37.326676]]}}"
12.183.163.194,Wed Dec 11 2019 09:34:39 GMT-0800 (Pacific Standard Time),1576085679132,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-11T17:34:39.132Z"",""ID"":1576085679132,""Drawing Type"":""Bikeway"",""Is this an existing or proposed bikeway?"":""Existing"",""What kind of bikeway should this route be?"":""Class II Bicycle Lane"",""Comments"":""Existing Class II bike lanes are present on both sides of the street."",""Commenter Name"":""Danny Reed Jr."",""Commenter Jurisdiction"":""City of Newman""},""geometry"":{""type"":""LineString"",""coordinates"":[[-121.019028,37.318213],[-121.017601,37.314441]]}}"
12.183.163.194,Wed Dec 11 2019 09:36:23 GMT-0800 (Pacific Standard Time),1576085783175,"{""type"":""Feature"",""properties"":{""Datetime"":""2019-12-11T17:36:23.175Z"",""ID"":1576085783175,""Drawing Type"":""Bikeway"",""Is this an existing or proposed bikeway?"":""Existing"",""What kind of bikeway should this route be?"":""Class II Bicycle Lane"",""Comments"":""Existing Class II bike lanes are present on both sides of the street."",""Commenter Name"":""Danny Reed Jr."",""Commenter Jurisdiction"":""City of Newman""},""geometry"":{""type"":""LineString"",""coordinates"":[[-121.029607,37.318324],[-121.026839,37.311147]]}}"
